Clase,Precisión,Recall,F1-Score,Soporte,Muestras_Dataset
black_sigatoka,0.7719298245614035,0.946236559139785,0.8502415458937198,93,469
bract_virus,1.0,0.9428571428571428,0.9705882352941176,70,350
cordana,0.8421052631578947,1.0,0.9142857142857143,80,400
healthy,0.93,0.93,0.93,200,1002
insect_pest,0.9469026548672567,0.8916666666666667,0.9184549356223176,120,602
moko_disease,0.9615384615384616,0.974025974025974,0.967741935483871,77,385
panama_disease,0.9591836734693877,0.8245614035087719,0.8867924528301887,57,287
pestalotiopsis,0.7916666666666666,0.7125,0.75,80,400
sigatoka,0.95,0.95,0.95,80,400
yellow_sigatoka,1.0,0.7058823529411765,0.8275862068965517,34,174
